Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"86828";"2001##00303808";"Piso";"46500";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87079";"2001##00303809";"Piso";"51100";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87109";"2001##00303811";"Piso";"51000";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87117";"2001##00303812";"Piso";"39000";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87126";"2001##00303814";"Piso";"46100";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87133";"2001##00303815";"Piso";"44300";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87138";"2001##00303816";"Piso";"38700";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87145";"2001##00303817";"Piso";"61400";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87150";"2001##00303818";"Piso";"38400";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"87153";"2001##00303819";"Piso";"51300";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"89752";"2001##00303813";"Piso";"46300";"0";
"IDD37498";"SAREB";"Barcelona";"Canet";"MOLI";"12";"8360";"79180";"2001##00302489";"Piso";"143800";"0";
"IDD37498";"SAREB";"Barcelona";"Canet";"MOLI";"12";"8360";"80263";"2001##00302486";"Garaje";"10800";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72227";"2001##00310823";"Garaje";"12800";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72238";"2001##00310818";"Garaje";"12800";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72262";"2001##00310813";"Garaje";"12000";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72320";"2001##00310833";"Garaje";"12800";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72321";"2001##00310824";"Garaje";"12800";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72324";"2001##00310827";"Garaje";"12800";"0";
"IDD23134";"SAREB";"Madrid";"Leganes";"NOGAL";"6";"28918";"72330";"2001##00310829";"Garaje";"12800";"0";
"IDD46995";"SAREB";"Madrid";"Alcala";"ALONSO BARBA";"9";"28806";"90917";"2001##00306849";"Nave";"933500";"0";
"IDD27071";"SAREB";"Barcelona";"Sant";"MONTSERRAT";"7";"8777";"70647";"2001##00335037";"Piso";"168000";"0";
"IDD41673";"SAREB";"Zaragoza";"Zaragoza";"SAN JUAN DE LA PEÑA";"180";"50015";"84333";"2001##00301707";"Local";"418200";"0";
"IDD27274";"SAREB";"Murcia";"Murcia";"Mayor";"3";"30590";"61772";"2001##00327585";"Garaje";"7000";"0";
"IDD27499";"SAREB";"Alicante";"Albatera";"SAN JUAN";"6";"3340";"86948";"2001##00328885";"Local";"86500";"0";
"IDD38830";"SAREB";"Zaragoza";"Zaragoza";"SAN JUAN DE LA PEÑA";"180";"50015";"83098";"2001##00301718";"Garaje";"19500";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"90766";"2001##00310060";"Casa";"116900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93844";"2001##00310063";"Casa";"119900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93845";"2001##00310064";"Casa";"116900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93846";"2001##00310065";"Casa";"116900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93847";"2001##00310066";"Casa";"119900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93849";"2001##00310068";"Casa";"116900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93850";"2001##00310070";"Casa";"116900";"0";
